course,where_visitors_are_coming_from,marketing_channels_effectiveness
Psychology,Search engines,High
Organic Chemistry I,Social media,Moderate
Computer Science,Direct traffic,High
Principles of Microeconomics,Referral websites,Low
English Composition I,Email campaigns,Moderate
Mathematics,Search engines,High
Sociology,Social media,Moderate
Principles of Marketing,Direct traffic,High
Physics,Referral websites,Low
Spanish Language and Culture I,Search engines,High
Art and Design,Email campaigns,Moderate
Environmental Science,Direct traffic,High
Political Science,Referral websites,Low
French,Social media,Moderate
Music,Search engines,High
Anthropology,Direct traffic,High
Engineering,Social media,Moderate
Computer Networks,Referral websites,Low
Philosophy,Email campaigns,Moderate
Digital Marketing,Search engines,High
